scope,slot,class_id,class_name,range,count,mean,median,std,min,max,unique_value_count
overall,all,0,ZERO,0,2975658,0.0,0.0,0.0,0.0,0.0,1
overall,all,1,LOW,1-63,1758841,44.805940389153996,48.0,14.80781114849536,8.0,63.0,56
overall,all,2,MID,64-95,2014383,77.91208126756432,77.0,9.233217088785105,64.0,95.0,32
overall,all,3,HIGH,96-126,869828,109.35113493702204,108.0,9.58521380674423,96.0,126.0,31
overall,all,4,FULL,127,4335746,127.0,127.0,0.0,127.0,127.0,1
slot,Pedal1,0,ZERO,0,746518,0.0,0.0,0.0,0.0,0.0,1
slot,Pedal1,1,LOW,1-63,441751,44.840455369653945,48.0,14.799459253034824,8.0,63.0,56
slot,Pedal1,2,MID,64-95,508854,77.90043313013163,77.0,9.222443821546431,64.0,95.0,32
slot,Pedal1,3,HIGH,96-126,218139,109.33493781487951,108.0,9.569116868639558,96.0,126.0,31
slot,Pedal1,4,FULL,127,1073352,127.0,127.0,0.0,127.0,127.0,1
slot,Pedal2,0,ZERO,0,748763,0.0,0.0,0.0,0.0,0.0,1
slot,Pedal2,1,LOW,1-63,449758,44.87452363270915,48.0,14.776104697791109,8.0,63.0,56
slot,Pedal2,2,MID,64-95,503320,77.79763371215131,77.0,9.238954001604927,64.0,95.0,32
slot,Pedal2,3,HIGH,96-126,213358,109.33153666607299,108.0,9.588801193412896,96.0,126.0,31
slot,Pedal2,4,FULL,127,1073415,127.0,127.0,0.0,127.0,127.0,1
slot,Pedal3,0,ZERO,0,740383,0.0,0.0,0.0,0.0,0.0,1
slot,Pedal3,1,LOW,1-63,435679,44.77400792785514,48.0,14.814660791999351,8.0,63.0,56
slot,Pedal3,2,MID,64-95,501355,77.95030866352185,77.0,9.2370223493595,64.0,95.0,32
slot,Pedal3,3,HIGH,96-126,218271,109.35379871810731,108.0,9.584435444371675,96.0,126.0,31
slot,Pedal3,4,FULL,127,1092926,127.0,127.0,0.0,127.0,127.0,1
slot,Pedal4,0,ZERO,0,739994,0.0,0.0,0.0,0.0,0.0,1
slot,Pedal4,1,LOW,1-63,431653,44.73138840689165,48.0,14.84197336539559,8.0,63.0,56
slot,Pedal4,2,MID,64-95,500854,78.00066087123193,78.0,9.233354877392546,64.0,95.0,32
slot,Pedal4,3,HIGH,96-126,220060,109.3835499409252,108.0,9.59835287671545,96.0,126.0,31
slot,Pedal4,4,FULL,127,1096053,127.0,127.0,0.0,127.0,127.0,1
