slot,class_id,class_name,range,count,ratio
Pedal1,0,ZERO,0,746518,0.24978735962556556
Pedal1,1,LOW,1-31,90473,0.03027256112699733
Pedal1,2,MID_LOW,32-63,351278,0.11753876546118033
Pedal1,3,MID_HIGH,64-95,508854,0.1702642094295215
Pedal1,4,HIGH,96-126,218139,0.07299002146145336
Pedal1,5,FULL,127,1073352,0.3591470828952819
Pedal2,0,ZERO,0,748763,0.2505385439538194
Pedal2,1,LOW,1-31,91589,0.030645978369906585
Pedal2,2,MID_LOW,32-63,358169,0.1198445165551657
Pedal2,3,MID_HIGH,64-95,503320,0.168412514965131
Pedal2,4,HIGH,96-126,213358,0.07139028325504733
Pedal2,5,FULL,127,1073415,0.35916816290093
Pedal3,0,ZERO,0,740383,0.24773456859935744
Pedal3,1,LOW,1-31,89857,0.030066445516215876
Pedal3,2,MID_LOW,32-63,345822,0.11571317005140175
Pedal3,3,MID_HIGH,64-95,501355,0.16775501955086872
Pedal3,4,HIGH,96-126,218271,0.07303418909233511
Pedal3,5,FULL,127,1092926,0.3656966071898211
Pedal4,0,ZERO,0,739994,0.247604407929562
Pedal4,1,LOW,1-31,89546,0.029962383901032386
Pedal4,2,MID_LOW,32-63,342107,0.11447011892469218
Pedal4,3,MID_HIGH,64-95,500854,0.16758738331547668
Pedal4,4,HIGH,96-126,220060,0.07363279433208839
Pedal4,5,FULL,127,1096053,0.3667429115971484
